"TEAM_ABBREVIATION","START_POSITION","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","AST","STL","BLK","TO","PF","PTS","PLUS_MINUS"
3,2,10,11,21,0.524,0,4,0,9,10,0.9,0,6,11,0,2,2,0,31,-4
3,2,12.55,13,24,0.542,1,4,0.25,6,8,0.75,1,6,9,0,1,0,0,33,10
3,2,11.93,13,21,0.619,1,4,0.25,3,4,0.75,1,8,4,2,0,2,2,30,26
3,2,18.78,14,25,0.56,3,11,0.273,2,4,0.5,0,9,9,2,1,4,4,33,10
3,2,12.87,14,24,0.583,2,6,0.333,5,5,1,1,4,5,1,0,1,1,35,18
3,2,19.83,9,22,0.409,1,8,0.125,4,8,0.5,1,3,6,2,0,3,3,23,-10
3,2,11.62,8,17,0.471,2,6,0.333,3,4,0.75,4,13,4,1,1,3,0,21,-14
3,2,10.45,12,26,0.462,2,7,0.286,3,4,0.75,1,7,6,1,0,5,3,29,13
3,2,13.22,12,27,0.444,3,6,0.5,1,2,0.5,1,7,11,2,0,0,2,28,6
3,2,8.5,12,18,0.667,6,8,0.75,1,3,0.333,2,5,8,0,1,2,1,31,8
3,2,12.17,8,22,0.364,3,10,0.3,2,3,0.667,1,6,3,1,0,1,1,21,-7
3,2,11.47,11,21,0.524,7,12,0.583,10,10,1,0,11,3,1,1,4,3,39,-3
3,2,9.25,8,17,0.471,1,4,0.25,4,4,1,0,8,5,3,1,9,2,21,16
3,2,8.35,12,22,0.545,4,9,0.444,2,4,0.5,1,7,5,2,0,3,2,30,-17
3,2,9.82,13,23,0.565,1,4,0.25,0,3,0,2,5,4,0,0,1,0,27,-8
3,2,10.17,7,19,0.368,0,5,0,3,5,0.6,2,8,8,0,1,3,3,17,-11
3,2,15.72,9,23,0.391,0,7,0,2,4,0.5,0,10,8,0,2,2,3,20,5
3,2,10.7,10,22,0.455,2,5,0.4,4,5,0.8,0,6,8,1,0,3,1,26,-1
3,2,13.43,10,24,0.417,1,6,0.167,7,8,0.875,3,4,5,4,0,3,2,28,-13
3,2,11.32,8,21,0.381,2,8,0.25,1,2,0.5,2,5,9,1,0,8,1,19,-7
3,2,13.72,12,22,0.545,2,9,0.222,5,7,0.714,1,7,8,2,2,4,3,31,2
3,2,12.67,7,17,0.412,2,8,0.25,4,6,0.667,2,8,6,1,2,2,3,20,-1
3,2,11.2,12,26,0.462,3,10,0.3,4,4,1,5,10,8,0,0,5,2,31,-10
3,2,17.78,4,13,0.308,0,4,0,2,3,0.667,2,3,0,1,0,2,1,10,-17
3,2,0.7,9,12,0.75,2,4,0.5,5,6,0.833,1,10,3,1,0,3,1,25,10
3,2,17.43,8,11,0.727,3,6,0.5,4,5,0.8,0,3,4,1,0,0,2,23,3
3,2,15.68,0,7,0,0,2,0,4,5,0.8,0,1,2,0,0,1,0,4,2
3,2,15.52,13,23,0.565,3,8,0.375,9,12,0.75,0,8,4,1,0,6,3,38,-2
3,2,17.63,14,27,0.519,7,13,0.538,4,6,0.667,1,8,5,0,1,4,1,39,-9
3,2,16.6,17,29,0.586,0,4,0,4,4,1,1,9,12,1,1,3,0,38,9
3,1,11.88,16,29,0.552,4,10,0.4,2,3,0.667,2,8,6,0,0,2,3,38,1
3,2,20.68,15,26,0.577,2,7,0.286,4,7,0.571,4,5,7,0,2,3,2,36,-5
3,2,13.07,8,21,0.381,1,8,0.125,2,5,0.4,0,5,4,1,2,5,5,19,-19
3,1,16.33,11,19,0.579,4,7,0.571,4,7,0.571,3,6,3,0,2,5,4,30,-21
3,1,6.2,10,20,0.5,5,11,0.455,6,7,0.857,0,7,6,0,1,4,0,31,-16
3,1,11.7,18,25,0.72,6,9,0.667,8,8,1,0,7,6,0,1,3,3,50,22
3,1,21.27,9,26,0.346,1,9,0.111,4,6,0.667,2,12,12,1,4,5,1,23,-17
3,1,14.55,19,31,0.613,6,11,0.545,12,13,0.923,2,8,3,0,1,4,0,56,13
3,2,13.07,8,18,0.444,2,9,0.222,8,10,0.8,1,7,4,0,1,4,2,26,-27
3,1,14.2,10,18,0.556,3,7,0.429,3,5,0.6,0,12,5,1,0,4,2,26,7
3,2,11.58,13,23,0.565,1,4,0.25,5,5,1,0,6,3,2,2,7,2,32,-22
3,2,11.68,6,18,0.333,2,8,0.25,7,8,0.875,1,10,3,1,1,6,1,21,-4
3,2,15.72,14,23,0.609,3,8,0.375,2,2,1,1,7,6,2,0,3,1,33,7
3,2,14.35,9,27,0.333,3,10,0.3,5,9,0.556,3,12,8,0,0,4,3,26,-11
3,2,12.7,13,22,0.591,3,7,0.429,1,1,1,0,7,7,3,0,6,1,30,-5
3,2,10.52,11,19,0.579,3,7,0.429,2,4,0.5,0,5,8,0,0,4,4,27,-25
3,2,15.93,13,24,0.542,2,7,0.286,1,2,0.5,3,10,10,1,0,3,3,29,12
3,2,10.45,14,21,0.667,2,8,0.25,3,3,1,0,7,6,3,2,0,1,33,10
3,2,15.87,12,22,0.545,1,8,0.125,8,11,0.727,2,9,4,2,0,3,4,33,-8
3,2,9.6,12,23,0.522,2,7,0.286,3,3,1,1,6,5,1,1,6,3,29,5
3,2,13.42,11,22,0.5,3,7,0.429,5,7,0.714,1,11,5,2,0,3,1,30,-20
3,2,13.28,9,20,0.45,3,8,0.375,4,8,0.5,0,7,7,1,1,1,1,25,11
3,2,6.7,9,23,0.391,2,8,0.25,5,7,0.714,1,8,2,0,2,1,0,25,-17
3,1,14.93,13,29,0.448,3,12,0.25,5,10,0.5,1,6,6,0,1,1,2,34,-12
3,1,9.37,14,19,0.737,3,4,0.75,4,4,1,6,3,7,0,0,3,4,35,-30
3,1,12.5,13,24,0.542,1,6,0.167,5,5,1,1,7,9,4,3,4,4,32,4
